Restaurant_Name,Cuisine,Price_for_1,Location,Rating
Cafe Amudham,south indian,400,jayanagar,100
Cafe Amudham,snacks,400,jayanagar,100
Sannidhi Grand,south indian,150,kammanahalli,10000
Sannidhi Grand,north indian,150,kammanahalli,10000
Sannidhi Grand,chinese,150,kammanahalli,10000
Sannidhi Grand,beverages,150,kammanahalli,10000
Veena Stores,south indian,100,malleshwaram,10000
Vidyarthi Bhavan,south indian,150,basavanagudi,10000
Namaste,south indian,100,vijayanagar,1000
Namaste,thalis,100,vijayanagar,1000
Namaste,snacks,100,vijayanagar,1000
Namaste,biryani,100,vijayanagar,1000
Namaste,indian,100,vijayanagar,1000
Namaste,chinese,100,vijayanagar,1000
Namaste,desserts,100,vijayanagar,1000
Namaste,beverages,100,vijayanagar,1000
Puliyogare Point,south indian,150,basavanagudi,10000
Third Wave Coffee,beverages,400,vasanth-nagar,100
Third Wave Coffee,bakery,400,vasanth-nagar,100
Third Wave Coffee,continental,400,vasanth-nagar,100
Vishnu Garden,chinese,251,ganganagar,10000
Vishnu Garden,south indian,251,ganganagar,10000
Vishnu Garden,north indian,251,ganganagar,10000
Priyadarshini Veg,north indian,150,yeshwantpur,10000
Priyadarshini Veg,south indian,150,yeshwantpur,10000
Priyadarshini Veg,chinese,150,yeshwantpur,10000
Priyadarshini Veg,fast food,150,yeshwantpur,10000
Priyadarshini Veg,desserts,150,yeshwantpur,10000
Arogya Ahaara,south indian,150,jp-nagar,1000
Arogya Ahaara,north indian,150,jp-nagar,1000
Arogya Ahaara,chinese,150,jp-nagar,1000
A2B - Adyar Ananda Bhavan,south indian,300,shanti-nagar,10000
A2B - Adyar Ananda Bhavan,north indian,300,shanti-nagar,10000
A2B - Adyar Ananda Bhavan,sweets,300,shanti-nagar,10000
A2B - Adyar Ananda Bhavan,chinese,300,shanti-nagar,10000
Vijayalakshmi veg,south indian,200,town,500
Vijayalakshmi veg,beverages,200,town,500
New Taj Darbar,biryani,300,shivajinagar,5000
New Taj Darbar,indian,300,shivajinagar,5000
New Taj Darbar,chinese,300,shivajinagar,5000
New Taj Darbar,tandoor,300,shivajinagar,5000
New Taj Darbar,seafood,300,shivajinagar,5000
Burger King,burgers,350,seshadripuram,10000
Burger King,american,350,seshadripuram,10000
Vijayalakshmi,south indian,150,basavanagudi,10000
Vijayalakshmi,north indian,150,basavanagudi,10000
Vijayalakshmi,chinese,150,basavanagudi,10000
MTR,south indian,300,st-marks-road,10000
Royal Restaurant,chinese,300,shivajinagar,1000
Royal Restaurant,north indian,300,shivajinagar,1000
Royal Restaurant,tandoor,300,shivajinagar,1000
Udupi Ruchi Grand,south indian,150,banashankari,10000
Udupi Ruchi Grand,chinese,150,banashankari,10000
Udupi Ruchi Grand,north indian,150,banashankari,10000
Udupi Ruchi Grand,chaat,150,banashankari,10000
Udupi Ruchi Grand,snacks,150,banashankari,10000
Hotel Aditya (Mahalakshmipuram),north indian,300,basaveshwaranagar,1000
Hotel Aditya (Mahalakshmipuram),south indian,300,basaveshwaranagar,1000
Hotel Aditya (Mahalakshmipuram),biryani,300,basaveshwaranagar,1000
NATRAJ Chole bhature,indian,200,indiranagar,5000
Sri Udupi Sagar,south indian,150,layout,1000
Sri Udupi Sagar,north indian,150,layout,1000
Sri Udupi Sagar,chinese,150,layout,1000
Kullad Cafe,north indian,150,layout,10000
Kullad Cafe,beverages,150,layout,10000
Ganesh Food Joint,south indian,150,town,1000
South Idlis,south indian,150,rajajinagar,100
South Idlis,chinese,150,rajajinagar,100
Welcome Upahara,south indian,150,jp-nagar,1000
Welcome Upahara,north indian,150,jp-nagar,1000
UDUPI PARK IN,beverages,70,hebbal,100
UDUPI PARK IN,indian,70,hebbal,100
UDUPI PARK IN,fast food,70,hebbal,100
Shanti Sagar,south indian,300,ulsoor,10000
Shanti Sagar,north indian,300,ulsoor,10000
Shanti Sagar,chinese,300,ulsoor,10000
Rampyari Chaiwala Netaji Bhajiawala,chaat,100,layout,1000
Rampyari Chaiwala Netaji Bhajiawala,snacks,100,layout,1000
Rampyari Chaiwala Netaji Bhajiawala,street food,100,layout,1000
Rampyari Chaiwala Netaji Bhajiawala,indian,100,layout,1000
New Alameen Restaurant,biryani,300,halasuru,1000
New Alameen Restaurant,kerala,300,halasuru,1000
New Alameen Restaurant,meat,300,halasuru,1000
New Alameen Restaurant,north indian,300,halasuru,1000
New Alameen Restaurant,south indian,300,halasuru,1000
McDonald's,burgers,400,malleshwaram,10000
McDonald's,beverages,400,malleshwaram,10000
McDonald's,cafe,400,malleshwaram,10000
McDonald's,desserts,400,malleshwaram,10000
SRI NAYVEDYA VEG,south indian,150,jayanagar,500
Namma Madurai,south indian,150,indiranagar,5000
SRI UDUPI VAIBHAV,south indian,199,indiranagar,1000
SRI UDUPI VAIBHAV,north indian,199,indiranagar,1000
SRI UDUPI VAIBHAV,chinese,199,indiranagar,1000
Gowdru Hotel,south indian,149,indiranagar,5000
Sangam Mess,kerala,300,kalyan-nagar,10000
Sangam Mess,south indian,300,kalyan-nagar,10000
Sangam Mess,biryani,300,kalyan-nagar,10000
Sangam Mess,seafood,300,kalyan-nagar,10000
Sangam Mess,beverages,300,kalyan-nagar,10000
Rotti Walla,north indian,200,indiranagar,10000
Rotti Walla,chinese,200,indiranagar,10000
Rotti Walla,snacks,200,indiranagar,10000
Rotti Walla,beverages,200,indiranagar,10000
Rotti Walla,tandoor,200,indiranagar,10000
Upahara Darshini,chinese,400,jayanagar,1000
Upahara Darshini,south indian,400,jayanagar,1000
Upahara Darshini,north indian,400,jayanagar,1000
Upahara Darshini,desserts,400,jayanagar,1000
Upahara Darshini,fast food,400,jayanagar,1000
KFC,burgers,400,shanti-nagar,1000
KFC,biryani,400,shanti-nagar,1000
KFC,american,400,shanti-nagar,1000
KFC,snacks,400,shanti-nagar,1000
KFC,fast food,400,shanti-nagar,1000
U.K CORNER,fast food,300,bel-road,10
U.K CORNER,pizzas,300,bel-road,10
U.K CORNER,ice cream,300,bel-road,10
TAPAS HIDEOUT,north indian,300,indiranagar,1000
TAPAS HIDEOUT,snacks,300,indiranagar,1000
Coffee Cafe,beverages,100,basaveshwara-nagar,20
Park View Restaurant,chinese,200,jp-nagar,10000
Park View Restaurant,south indian,200,jp-nagar,10000
Park View Restaurant,north indian,200,jp-nagar,10000
Park View Restaurant,beverages,200,jp-nagar,10000
Bakingo,bakery,299,vasanth-nagar,500
Bakingo,desserts,299,vasanth-nagar,500
Bakingo,beverages,299,vasanth-nagar,500
Bakingo,snacks,299,vasanth-nagar,500
Jay Jaganath Bengali Mess,north indian,280,mathikere,1000
Ayodhya Sagara,chinese,200,basaveshwara-nagar,100
Ayodhya Sagara,south indian,200,basaveshwara-nagar,100
Ayodhya Sagara,north indian,200,basaveshwara-nagar,100
Ayodhya Sagara,desserts,200,basaveshwara-nagar,100
Ayodhya Sagara,beverages,200,basaveshwara-nagar,100
Ayodhya Sagara,mughlai,200,basaveshwara-nagar,100
New Shanti Upahar,south indian,200,jayanagar,5000
Chinese Wok,chinese,250,malleshwaram,100
Chinese Wok,asian,250,malleshwaram,100
Chinese Wok,tibetan,250,malleshwaram,100
Chinese Wok,desserts,250,malleshwaram,100
Sandwich Guru,snacks,99,basavanagudi,1000
Sandwich Guru,beverages,99,basavanagudi,1000
New Udupi Grand,south indian,250,adugodi,100
New Udupi Grand,north indian,250,adugodi,100
New Udupi Grand,chinese,250,adugodi,100
New Udupi Grand,beverages,250,adugodi,100
CakeZone,bakery,200,indiranagar,10000
CakeZone,desserts,200,indiranagar,10000
CakeZone,sweets,200,indiranagar,10000
CakeZone,ice cream,200,indiranagar,10000
GALLI KITCHEN,south indian,200,banashankari,500
GALLI KITCHEN,fast food,200,banashankari,500
Shrinidhi Military Hotel,south indian,299,basavanagudi,500
Anand Sweets & Savouries,sweets,300,indiranagar,10000
Anand Sweets & Savouries,chaat,300,indiranagar,10000
Anand Sweets & Savouries,snacks,300,indiranagar,10000
Anand Sweets & Savouries,desserts,300,indiranagar,10000
Anand Sweets & Savouries,north indian,300,indiranagar,10000
Sri Ganesh Upahara,south indian,200,vijayanagar,100
Sri Ganesh Upahara,chinese,200,vijayanagar,100
Sagar fast food,chinese,200,koramangala,5000
Sagar fast food,south indian,200,koramangala,5000
Sagar fast food,north indian,200,koramangala,5000
Sri Vishnu Grand Veg,south indian,200,majestic,50
Sri Vishnu Grand Veg,north indian,200,majestic,50
Sri Vishnu Grand Veg,chinese,200,majestic,50
Udupi Upahar,south indian,200,rt-nagar,100
Udupi Upahar,north indian,200,rt-nagar,100
Udupi Upahar,chinese,200,rt-nagar,100
Udupi Upahar,chaat,200,rt-nagar,100
Udupi Upahar,beverages,200,rt-nagar,100
Pizza House,pizzas,400,shivaji-nagar,20
Ranganna Military Hotel,south indian,300,jayanagar,10000
Rajathadri Food Fort,chinese,350,jayanagar,10000
Rajathadri Food Fort,south indian,350,jayanagar,10000
Rajathadri Food Fort,north indian,350,jayanagar,10000
Rajathadri Food Fort,desserts,350,jayanagar,10000
Rishi's Paratha Plaza,north indian,300,sanjay-nagar,1000
THE PASTRY ZONE,bakery,150,kalyan-nagar,1000
THE PASTRY ZONE,desserts,150,kalyan-nagar,1000
THE PASTRY ZONE,beverages,150,kalyan-nagar,1000
THE PASTRY ZONE,ice cream,150,kalyan-nagar,1000
Leon's - Burgers & Wings (Leon Grill),american,300,koramangala,10000
Leon's - Burgers & Wings (Leon Grill),snacks,300,koramangala,10000
Leon's - Burgers & Wings (Leon Grill),turkish,300,koramangala,10000
Leon's - Burgers & Wings (Leon Grill),portuguese,300,koramangala,10000
Leon's - Burgers & Wings (Leon Grill),continental,300,koramangala,10000
Raghavendra Tiffins,south indian,400,koramangala,500
Raghavendra Tiffins,north indian,400,koramangala,500
Raghavendra Tiffins,chinese,400,koramangala,500
Raghavendra Tiffins,indian,400,koramangala,500
Cakewala,desserts,400,jayanagar,5000
Snacks Corner,snacks,350,indiranagar,1000
Snacks Corner,north indian,350,indiranagar,1000
Snacks Corner,beverages,350,indiranagar,1000
Snacks Corner,street food,350,indiranagar,1000
Ande Ka Funda,north indian,99,jp-nagar,100
Fresh Bites,north indian,200,indiranagar,10000
Fresh Bites,south indian,200,indiranagar,10000
Fresh Bites,chinese,200,indiranagar,10000
Fresh Bites,juices,200,indiranagar,10000
Fresh Bites,tandoor,200,indiranagar,10000
Thatte Idli Junction,south indian,150,kalyan-nagar,100
Chikkanna Tiffin Room(Cubbonpet),south indian,200,nagarathpete,100
Chikkanna Tiffin Room(Cubbonpet),snacks,200,nagarathpete,100
TrueCakes - Fresh | Eggless | Cakes,bakery,300,domlur,100
TrueCakes - Fresh | Eggless | Cakes,desserts,300,domlur,100
Umesh Refreshments UDP,south indian,200,indiranagar,1000
Umesh Refreshments UDP,beverages,200,indiranagar,1000
COFFEE SANTHE,south indian,100,mathikere,100
Marwadi Chaat & Tiffin Services Shanti nagar,rajasthani,300,shanti-nagar,5000
Marwadi Chaat & Tiffin Services Shanti nagar,north indian,300,shanti-nagar,5000
Marwadi Chaat & Tiffin Services Shanti nagar,snacks,300,shanti-nagar,5000
Marwadi Chaat & Tiffin Services Shanti nagar,chaat,300,shanti-nagar,5000
Asha Sweet Center,sweets,250,vasanth-nagar,50
Asha Sweet Center,desserts,250,vasanth-nagar,50
DHARMIK VEG,south indian,300,town,50
DHARMIK VEG,chinese,300,town,50
DHARMIK VEG,fast food,300,town,50
DHARMIK VEG,snacks,300,town,50
Namma kudla Veg  Malleswaram,coastal,100,malleshwaram,1000
Namma kudla Veg  Malleswaram,konkan,100,malleshwaram,1000
Namma kudla Veg  Malleswaram,south indian,100,malleshwaram,1000
Namma kudla Veg  Malleswaram,sweets,100,malleshwaram,1000
SLV Refereshments,south indian,100,banashankari,500
